app_id,project_start_date,start_cohort,project_cohort,project_cohort_post_rap,followup_eligible_12m,pub12_fractional,anypub12,followup_eligible_18m,pub18_fractional,anypub18,followup_eligible_24m,pub24_fractional,anypub24
13556,2015-07-13,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13685,2015-08-24,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13721,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13745,2013-06-01,2013H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13784,2015-07-01,2015H2,pre_rap_project_start,0,1,1.000000,1,1,1.000000,1,1,1.000000,1
13797,2015-04-27,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13869,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
13933,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
14048,2015-07-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
14053,2016-07-11,2016H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
14069,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
14095,2015-08-31,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
14105,2015-07-20,2015H2,pre_rap_project_start,0,1,0.000000,0,1,2.000000,1,1,3.000000,1
14146,2015-11-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
14151,2015-11-01,2015H2,pre_rap_project_start,0,1,1.000000,1,1,1.000000,1,1,1.000000,1
14167,2015-05-29,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
14179,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
14237,2018-09-10,2018H2,pre_rap_project_start,0,1,0.000000,0,1,1.000000,1,1,1.000000,1
14259,2020-06-24,2020H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
14292,2016-01-01,2016H1,pre_rap_project_start,0,1,0.500000,1,1,0.500000,1,1,0.500000,1
14302,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
14421,2015-09-01,2015H2,pre_rap_project_start,0,1,1.000000,1,1,1.000000,1,1,1.000000,1
14466,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
